manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Toyota,Venza,2010,Алматы,кроссовер,146000.0,автомат,слева,серый металлик,полный привод,9100000,2.7,бензин
Renault,Kaptur,2020,Шымкент,кроссовер,,механика,слева,,передний привод,9796000,1.6,бензин
Lexus,RX 300,2002,Караганда,кроссовер,,автомат,слева,серый,полный привод,4300000,3.0,газ-бензин
Toyota,Camry,2018,Нур-Султан (Астана),седан,46000.0,автомат,слева,синий,передний привод,14500000,2.5,бензин
Lexus,RX 330,2004,Алматы,кроссовер,220000.0,автомат,слева,белый,полный привод,6100000,3.3,бензин
Toyota,Camry,2017,Кызылорда,седан,100000.0,автомат,слева,белый,передний привод,12500000,2.5,бензин
Renault,Sandero,2020,Костанай,хэтчбек,,механика,слева,,передний привод,7411000,1.6,бензин
Hyundai,Accent,2019,Нур-Султан (Астана),седан,28000.0,автомат,слева,белый,передний привод,7050000,1.6,бензин
Lexus,GS 350,2008,Нур-Султан (Астана),седан,200000.0,автомат,слева,черный,задний привод,6200000,3.5,бензин
Mitsubishi,Montero Sport,2002,Кызылорда,внедорожник,300000.0,автомат,слева,черный металлик,полный привод,4000000,3.0,газ-бензин
Renault,Sandero,2020,Костанай,хэтчбек,,механика,слева,,передний привод,7471000,1.6,бензин
Volkswagen,Tiguan,2011,Нур-Султан (Астана),кроссовер,149000.0,автомат,слева,белый,передний привод,4850000,2.0,бензин
Toyota,Land Cruiser,2006,Шымкент,внедорожник,270000.0,автомат,слева,черный,полный привод,9000000,4.2,дизель
Renault,Sandero,2020,Актау,хэтчбек,,механика,слева,,передний привод,7471000,1.6,бензин
Nissan,Qashqai,2015,Павлодар,кроссовер,80000.0,автомат,слева,серебристый,передний привод,6500000,1.2,бензин
ВАЗ (Lada),2110 (седан),2007,Актобе,седан,122000.0,механика,слева,серебристый,передний привод,850000,1.6,бензин
Land Rover,Range Rover,2006,Алматы,внедорожник,200000.0,автомат,слева,черный,полный привод,5350000,4.2,бензин
Lexus,IS 300,2007,Кокшетау,седан,178000.0,автомат,слева,белый,задний привод,5700000,3.0,бензин
ВАЗ (Lada),2114 (хэтчбек),2005,Атырау,хэтчбек,194500.0,механика,слева,серый металлик,передний привод,750000,1.6,бензин
Hyundai,Elantra,2019,Нур-Султан (Астана),седан,40000.0,автомат,слева,серебристый,передний привод,8350000,1.6,бензин
Hyundai,Tucson,2017,Нур-Султан (Астана),кроссовер,95000.0,автомат,слева,,полный привод,9400000,2.0,бензин
Toyota,Land Cruiser Prado,2007,Алматы,внедорожник,147000.0,автомат,слева,зеленый,полный привод,12300000,4.0,бензин
Hyundai,i30,2014,Нур-Султан (Астана),хэтчбек,112000.0,автомат,слева,коричневый,передний привод,5750000,1.6,бензин
Renault,Logan,2020,Уральск,седан,,механика,слева,белый,передний привод,6384000,1.6,бензин
Mercedes-Benz,C 200,2007,Караганда,седан,278000.0,автомат,слева,бежевый металлик,задний привод,4700000,1.8,бензин
Mazda,6,2006,Петропавловск,седан,,автомат,слева,серый,передний привод,2400000,2.0,бензин
Lexus,RX 350,2010,Нур-Султан (Астана),кроссовер,111000.0,автомат,слева,белый,полный привод,11500000,3.5,бензин
Nissan,Juke,2013,Нур-Султан (Астана),кроссовер,99000.0,механика,слева,серый,передний привод,4500000,1.6,бензин
Suzuki,Escudo,1996,Нур-Султан (Астана),внедорожник,347000.0,автомат,справа,зеленый металлик,полный привод,1900000,2.0,бензин
Subaru,Forester,1999,Нур-Султан (Астана),кроссовер,,автомат,слева,черный,полный привод,2900000,2.5,бензин
Nissan,Qashqai,2013,Нур-Султан (Астана),кроссовер,100000.0,автомат,слева,черный металлик,передний привод,5950000,1.6,бензин
Toyota,Sienna,2006,Актобе,минивэн,217215.0,автомат,слева,серебристый,полный привод,4900000,3.3,газ-бензин
ВАЗ (Lada),XRAY,2019,Нур-Султан (Астана),хэтчбек,38000.0,автомат,слева,серебристый металлик,передний привод,4490000,1.6,бензин
ВАЗ (Lada),2190 (седан),2020,Караганда,седан,20000.0,механика,слева,серый металлик,передний привод,3800000,1.6,бензин
Mercedes-Benz,C 230,2005,Алматы,седан,255128.0,автомат,слева,золотистый металлик,задний привод,3600000,2.5,бензин
Lexus,RX 350,2010,Актобе,кроссовер,130000.0,автомат,слева,серебристый металлик,полный привод,7500000,3.5,бензин
Honda,CR-V,1996,Алматы,кроссовер,,автомат,справа,серебристый,полный привод,2700000,2.0,бензин
Toyota,Camry,2014,Нур-Султан (Астана),седан,108000.0,автомат,слева,белый,передний привод,8000000,2.0,бензин
Hyundai,Grandeur,2018,Шымкент,седан,66640.0,автомат,слева,черный металлик,передний привод,11300000,3.0,бензин
Renault Samsung,SM3,2014,Нур-Султан (Астана),седан,118000.0,автомат,слева,черный металлик,передний привод,3950000,1.6,бензин
Nissan,Juke,2013,Нур-Султан (Астана),кроссовер,90000.0,автомат,слева,белый,передний привод,5190000,1.6,бензин
Toyota,RAV 4,2010,Алматы,кроссовер,129000.0,автомат,слева,серебристый металлик,,7000000,2.0,бензин
Toyota,Camry,2013,Нур-Султан (Астана),седан,150000.0,автомат,слева,черный,передний привод,8400000,2.5,газ-бензин
Renault,Duster,2020,Алматы,кроссовер,,механика,слева,,полный привод,8124000,2.0,бензин
ВАЗ (Lada),Vesta Cross,2019,Караганда,универсал,39500.0,автомат,слева,белый,передний привод,5550000,1.8,бензин
Toyota,Camry,2008,Алматы,седан,156000.0,автомат,слева,белый,передний привод,5800000,2.4,бензин
Renault,Sandero,2020,Шымкент,хэтчбек,,автомат,слева,красный металлик,передний привод,7443000,1.6,бензин
Suzuki,Grand Vitara,2012,Нур-Султан (Астана),кроссовер,124000.0,автомат,слева,серебристый,полный привод,6590000,2.0,бензин
